序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
33,2025/5/30,江西誉信电子科技有限公司,,民企,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,何晓兵,0796-6126636,江西金融租赁股份有限公司,国企,王祥宜,0791-86778988,,,"1,060.00",CNY,2.5年,2025/5/23,2027/11/22,变更登记,租赁物为直接成像设备，存放于江西省吉安市遂川县江西志博信科技股份有限公司厂区内，详见租赁物清单。,综合,科学研究和技术服务业,科技推广和应用服务业,江西-吉安-遂川,江西-南昌-东湖,租赁融资事件-租赁资产价值1000-5000_5月
34,2025/5/30,临沂云翔牧业有限公司,,民企,,,在营,龙涛,16678056155,海尔融资租赁股份有限公司,"民企,发债",张磊,021-80256000,,,"1,883.04",CNY,3.08年,2025/5/30,2028/6/29,初始登记,详见附件,农林牧渔,农、林、牧、渔业,畜牧业,山东-临沂-临沭,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
35,2025/5/30,中铁二局第一工程有限公司,中国中铁股份有限公司,央企子公司,"高新技术企业,省级企业技术中心","失信,限高消费,被执行人,终本案件",在营,杨帆,16608773247,远东宏信融资租赁(广东)有限公司,国企,孔繁星,021-38913000,,,"1,008.68",CNY,2.16年,2025/5/30,2027/7/29,初始登记,详见附件。,建筑装饰,建筑业,房屋建筑业,贵州-贵阳-南明,广东-广州-南沙,租赁融资事件-租赁资产价值1000-5000_5月
36,2025/5/30,浙江创芯集成电路有限公司,杭州萧山经济技术开发区国有资本控股集团有限公司,"国企,城投子公司","省级""专精特新""中小企业",,在营,高大为,（0571）82959100,长江联合金融租赁有限公司,国企,邱鹤良,021-20576000,,,"1,575.21",CNY,2.08年,2025/5/30,2027/6/29,初始登记,"本项目标的物为承租人浙江创芯集成电路有限公司名下的部分设备(详见租赁财产附件)，存放地点详见租赁财产附件，租赁物资产净值为人民币15,345,268.36元。在本项目合同存续期间(2025年5月30日至2027年5月30日)，该租赁标的物的所有权归长江联合金融租赁有限公司所有，特此说明。",计算机,制造业,计算机、通信和其他电子设备制造业,浙江-杭州-萧山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
37,2025/5/30,河南省世纪天泰印务有限公司,,民企,"高新技术企业,科技部科技型中小企业,省级创新型中小企业",,在营,冯奎奎,13838119998,海通恒信小微融资租赁(上海)有限公司,"国企,发债",桑琳娜,021-61355388,,,"1,871.49",CNY,5年,2025/5/30,2030/5/29,初始登记,名称：利优比新菱RMGT1060单张纸胶印机，型号：1060AX-8，数量：壹台，序列号：3120。,轻工制造,制造业,造纸和纸制品业,河南-焦作-武陟,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_5月
38,2025/5/30,安徽省祥森热力有限公司,,民企,科技部科技型中小企业,,在营,钟蓉蓉,0553-6888038,安徽正奇融资租赁有限公司,"民企,发债",罗斌,0551-64377977,,,"2,188.32",CNY,3年,2025/5/30,2028/5/29,初始登记,发票号为14901589等的设备121项，详见附件。,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,安徽-芜湖-无为,安徽-合肥-庐阳,租赁融资事件-租赁资产价值1000-5000_5月
39,2025/5/30,济南重工集团有限公司,济南轨道交通集团有限公司,"国企,城投子公司","高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,孙国蓉,0531-86139277,长江联合金融租赁有限公司,国企,邱鹤良,021-20576000,,,"4,256.55",CNY,3.08年,2025/5/30,2028/6/29,初始登记,"本项目标的物为承租人济南重工集团有限公司指定购买的设备资产(详见租赁财产附件)，交货地点详见租赁财产附件，租赁物发票所载原值为人民币40,000,000.00元。在本项目合同存续期间(2025年5月30日至2028年5月30日)，该租赁标的物的所有权归长江联合金融租赁有限公司所有，特此说明。",机械设备,制造业,通用设备制造业,山东-济南-历城,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
40,2025/5/30,昆山晟鑫光能源有限公司,盐城普光能源公司,民企,,,在营,胡立,17751222170,民生金融租赁股份有限公司,"民企,发债",黄红日,010-68940066,,,"3,260.92",CNY,12年,2025/5/30,2037/5/29,变更登记,昆山晟鑫光-正新橡胶 5.87MW 分布式光伏发电站(备案证号：昆发改备[2018]777 号)资产，位于正新橡胶(中国)有限公司厂区内，江苏省昆山市陆家镇合丰路 8 号，详见附表清单。,综合,租赁和商务服务业,商务服务业,江苏-苏州-昆山,天津-东丽,租赁融资事件-租赁资产价值1000-5000_5月
41,2025/5/30,肥城城资绿能光伏发电有限公司,肥城市城资控股集团有限公司,国企,,,在营,周生辉,18366608055,济南金控国际融资租赁有限公司,发债,胡建仓,0531-80985858,,,"3,534.52",CNY,3.75年,2025/5/30,2029/2/27,初始登记,肥城城资绿能光伏发电有限公司分布式光伏发电项目(一期)(项目代码2212-370983-04-01-145474)、肥城城资绿能光伏发电有限公司分布式光伏发电项目(二期)(项目代码2305-370983-04-01-232659)、肥城城资绿能光伏发电有限公司分布式光伏发电项目(三期)(项目代码2308-370983-04-01-501019)、肥城城资晟润新型建材有限公司分布式发电项目(项目代码2308-370983-04-01-328589)，及实物增资所得的凤凰产业园分布式光伏发电项目(项目代码2303-370983-04-01-687012)共计五个项目中的光伏发电设备。,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,山东-泰安-肥城,山东-济南-历下,租赁融资事件-租赁资产价值1000-5000_5月
42,2025/5/30,吉林省远泰吊装设备有限公司,,民企,,,在营,张海波,18843658887,三一融资租赁有限公司,"民企,发债",黄建龙,18073130497,,,"1,827.00",CNY,5.91年,2025/5/30,2031/4/29,初始登记,名称规格及数量：履带起重机SCC17000TM-1质量：全新经出厂检验合格，无瑕疵所在地：承租人处设备编号：CC1250CE0001发动机号：4423E000315车架号：,建筑装饰,建筑业,建筑安装业,吉林-长春-九台,上海-奉贤,租赁融资事件-租赁资产价值1000-5000_5月
43,2025/5/30,长春羊草煤业股份有限公司,,国企,,"被执行人,终本案件",在营,陈祖植,82548812,三一融资租赁有限公司,"民企,发债",黄建龙,18073130497,,,"2,886.60",CNY,3.41年,2025/5/30,2028/10/29,初始登记,名称规格及数量：液压支架液压支架质量：全新经出厂检验合格，无瑕疵所在地：承租人处设备编号：ZJZJZJSE50392-50468/ZJTSZJSE50026-50028/ZJTSZJSE50029/ZJWGZJSE50004/ZJBJZJSE50011-1/GB0730SE50007/GB0730SE50008/CM710SSE50006/ZJBJZJSE50011-2发动机号：车架号：,煤炭,采矿业,煤炭开采和洗选业,吉林-长春-二道,上海-奉贤,租赁融资事件-租赁资产价值1000-5000_5月
44,2025/5/30,长兴百通物资有限公司,,国企,,,在营,何利萍,0572-6683267,苏银金融租赁股份有限公司,"国企,发债",姜洪飞,025-58587700,,,"3,005.87",CNY,7.91年,2025/5/30,2033/4/29,变更登记,1项租赁物为移动式起重机等，合计数量32，租金总额为35618460元。,商贸零售,批发和零售业,零售业,浙江-湖州-长兴,江苏-南京-玄武,租赁融资事件-租赁资产价值1000-5000_5月
45,2025/5/30,荆州市东进农牧有限公司,东进农牧,民企,,,在营,何燕航,0716-5222998,海尔融资租赁股份有限公司,"民企,发债",张磊,021-80256000,,,"1,190.10",CNY,3.08年,2025/5/30,2028/6/29,初始登记,详见附件,农林牧渔,农、林、牧、渔业,畜牧业,湖北-荆州-公安,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
46,2025/5/30,"保定市华达汽车销售服务有限公司,保定市威达汽车销售服务有限公司,保定市中冀铭通汽车贸易有限公司,保定市中冀汽车贸易集团有限公司,保定市中冀致尚汽车服务有限公司",,,,,,,,平安国际融资租赁(天津)有限公司,"民企,发债",李文艺,2138091169,,,"1,324.94",CNY,1.66年,2025/5/30,2027/1/29,初始登记,租赁物详情请见附件,-,-,-,-,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
47,2025/5/30,江西龙达石油化工有限公司,,民企,,,在营,何治衡,2185866,君创国际融资租赁有限公司,"民企,发债",李思明,021-23291188,,,"2,614.46",CNY,6年,2025/5/30,2031/5/29,初始登记,设备一批,商贸零售,批发和零售业,批发业,江西-南昌-新建,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_5月
48,2025/5/30,九江市龙达石油化工有限公司,,民企,,,在营,何治衡,2185866,君创国际融资租赁有限公司,"民企,发债",李思明,021-23291188,,,"1,557.55",CNY,6年,2025/5/30,2031/5/29,初始登记,设备一批,商贸零售,批发和零售业,零售业,江西-九江-湖口,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_5月
49,2025/5/30,江苏行健控股集团有限公司,,民企,,,在营,张恕生,0527-80699999,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"2,004.71",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,综合,租赁和商务服务业,商务服务业,江苏-宿迁-泗阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
50,2025/5/30,兴化市城发能源有限公司,泰州市兴化国有资产投资控股有限公司,"国企,城投子公司",,,在营,朱文龙,0523-83236169,苏银金融租赁股份有限公司,"国企,发债",姜洪飞,025-58587700,"2,900.32",CNY,"2,985.04",CNY,5年,2025/5/30,2030/5/29,初始登记,"5项租赁物为ADSVG无功补偿柜,SSVG高压无功静止发生装置等，合计数量117，租金总额为29003179.56元。",商贸零售,批发和零售业,批发业,江苏-泰州-兴化,江苏-南京-玄武,租赁融资事件-租赁资产价值1000-5000_5月
51,2025/5/30,济南经开投资有限公司,山东济北投资控股集团有限公司,"国企,城投子公司,发债",,,在营,徐丛丛,0531-84236597,山东惠金融资租赁有限公司,国企,吕汉东,0537-2370769,,,"3,521.38",CNY,2.5年,2025/5/30,2027/11/29,初始登记,"本次售后回租业务金额3,000.00万元，提供租赁标的物为济南经开投资有限公司所持有的配套设备，详见租赁物清单。本次业务最高债权额是指：借款本金和相应的利息、罚息、违约金、损失赔偿金以及为实现债权、担保权利等所发生的一切费用(包括但不限于诉讼费、保全费、仲裁费、律师费、保全担保费、差旅费、评估费、过户费、保险费、公证费、执行费等)和其他所有应付的费用之和",综合,租赁和商务服务业,商务服务业,山东-济南-济阳,山东-济南-市中区,租赁融资事件-租赁资产价值1000-5000_5月
52,2025/5/30,阳谷新太平洋电缆有限公司,山东阳昇发展集团有限公司,国企,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业,省级制造业单项冠军企业",,在营,刘锋,0635-6512401,民生金融租赁股份有限公司,"民企,发债",黄红日,010-68940066,,,"1,048.33",CNY,5年,2025/5/30,2030/5/29,初始登记,"【名称:铜小拉机,型号:22模,数量:4.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:束线机,型号:500-630,数量:3.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:管绞机,型号:630,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:重型编织机,型号:48锭,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:重型编织机,型号:24锭,数量:4.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:成缆机,型号:1+3+3/1000,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:挤橡机,型号:90+70,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:挤橡机,型号:120+90,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:挤橡机,型号:150+120,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:收放线架,型号:1000-2500mm,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:绕包机,型号:双层铜心式,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:开炼机,型号:XK-360,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。名称:挤橡机,型号:70+70,数量:1.0,出厂编号: ,设备所在地:山东省聊城市阳谷县祥光经济开发区新兴产业基地68号,发票号码: ,其他: 。】",电力设备,制造业,电气机械和器材制造业,山东-聊城-阳谷,天津-东丽,租赁融资事件-租赁资产价值1000-5000_5月
53,2025/5/30,新疆振兴能源有限责任公司,,民企,,,在营,宋晋明,0997-4686620,远东宏信融资租赁(广东)有限公司,国企,孔繁星,021-38913000,,,"4,594.39",CNY,1.16年,2025/5/30,2026/7/29,初始登记,详见附件。,建筑装饰,建筑业,土木工程建筑业,新疆-阿拉尔,广东-广州-南沙,租赁融资事件-租赁资产价值1000-5000_5月
54,2025/5/30,成都空港产业兴城投资发展有限公司,成都空港兴城投资集团有限公司,"国企,城投子公司",,,在营,王久斌,028-85881678,蜀道融资租赁(深圳)有限公司,"国企,发债",陈春屹,15881182441,,,"2,252.11",CNY,6年,2025/5/30,2031/5/29,初始登记,成都空港产业兴城投资发展有限公司位于成都市高新综合保税区双流园区的相关设备，详见租赁物清单。,综合,租赁和商务服务业,商务服务业,四川-成都-双流,广东-深圳-南山,租赁融资事件-租赁资产价值1000-5000_5月
